id,name,date_of_birth,nationality
96,Dale E. Bredesen,1954-10-02,Russian
97,Cameron Crowe,1980-05-11,Saudi Arabian
98,Nigel Dunnett,1982-12-07,Peruvian
99,Hanna Karlzon,1986-09-15,Greek
100,Terry Albert,1945-04-07,Italian
101,Mike Mignola,1962-09-16,Indian
102,Tim Challies,1979-02-09,Turkish
103,Florence Littauer,1964-07-21,Kenyan
104,Samantha Shannon,1952-07-19,Peruvian
105,Stephen Chbosky,1963-06-08,Turkish
106,Robert W. Bly,1960-10-17,Mexican
107,Katherine Sabbath,1923-06-04,Nigerian
108,Elizabeth Kolbert,1931-07-18,Egyptian
109,Leo Tolstoy,1942-11-29,Spanish
110,Seamus Heaney,1961-10-18,Spanish
111,Timothy Zahn,1929-09-17,Thai
112,David Foskett,1967-12-02,Turkish
113,Fintan O'Toole,1966-08-16,Saudi Arabian
114,Mike Bayer,1963-05-19,Korean
115,Ivana Chubbuck,1950-03-19,Egyptian
116,Hans Bacher,1989-06-22,Italian
117,Saara Huhta,1968-04-07,Mexican
118,Jane Gardam,1953-12-21,Indian
119,Rebecca Skloot,1987-01-06,Turkish
120,Neil Astley,1937-02-01,Korean
121,Adrian Tchaikovsky,1950-10-07,Italian
122,Tyler Brule,1962-03-30,Saudi Arabian
123,John Locke,1957-02-28,Canadian
124,Wendell Berry,1934-06-29,Polish
125,Andy Diggle,1972-06-17,Indian
126,Jason Fox,1989-06-20,Egyptian
127,Niki Brantmark,1976-08-28,Nigerian
128,Sylvia Libow Martinez,1949-06-17,Australian
129,Shane Dawson,1955-04-01,Saudi Arabian
130,Mark Gatter,1973-07-13,Russian
131,Headline,1963-05-15,Australian
132,Matt Ridley,1971-11-07,Saudi Arabian
133,Sarah Millican,1986-05-30,Irish
134,Noah J Goldstein,1927-01-16,Japanese
135,Mark Beaumont,1963-05-28,Australian
136,Foster Provost,1945-12-23,Israeli
137,John McEnroe,1955-07-11,Irish
138,Homi K. Bhabha,1924-01-11,Indian
139,John Scalzi,1976-06-24,Portuguese
140,Pete Pfitzinger,1941-10-10,Peruvian
141,Kate West,1924-08-23,German
142,Gordon Lyon,1937-11-03,Thai
143,Jean-Yves Ferri,1924-06-18,Malaysian
144,Deborah Ford,1963-12-11,Irish
145,Martin Olsen Lany,1947-02-13,Canadian
146,Steven D. Levitt,1943-02-19,French
147,Sherri Duskey Rinker,1939-03-04,Jamaican
148,Artemis Cooper,1929-10-28,Polish
149,Alexa Chung,1964-12-26,Saudi Arabian
150,Matt Fargo,1954-09-08,American
151,Philip Hoare,1944-07-14,British
152,Tara Mohr,1988-10-12,French
153,Dr. Stephan Guyenet,1988-02-03,British
154,Dr. Wayne Dyer,1930-02-13,French
155,Zenaida Sengo,1926-01-24,Thai
156,Cyndi Dale,1968-07-22,American
157,Roger Ma,1970-12-09,Thai
158,Dr. Jonathan Aviv,1945-12-25,German
159,Vladimir Lenin,1946-11-14,Swedish
160,Caroline Myss,1954-07-27,Greek
161,Eliott J Lilly,1968-01-04,Italian
162,Simon Sinek,1941-05-16,Spanish
163,Maya Angelou,1953-05-20,Irish
164,Alan Moore,1938-12-15,Swedish
165,Glyn James,1944-12-29,British
166,Paige Toon,1945-12-11,Israeli
167,Terry Breverton,1927-09-12,Russian
168,Darrell Huff,1981-03-25,Peruvian
169,Hudson,1952-12-27,German
170,Sarah Britton,1937-03-24,Turkish
171,Ben Miller,1980-01-22,Indian
172,Rick Broadbent,1982-01-12,Portuguese
173,3DTotal.com,1972-05-12,Malaysian
174,Michelle Inciarrano,1935-04-11,Turkish
175,Rachel Robertson,1952-08-24,Jamaican
176,Pete Evans,1951-12-06,Brazilian
177,Don Murdoch Gse,1922-02-28,Mexican
178,Robert Rooney,1984-04-27,Egyptian
179,Lars Mytting,1986-12-03,Portuguese
180,Zondervan,1921-10-30,Egyptian
181,Canna Campbell,1966-11-16,Italian
182,Paul Pitchford,1920-08-13,Peruvian
183,Peter Matthiessen,1959-09-20,Malaysian
184,Isabel Sanchez Vegara,1953-08-18,Egyptian
185,Stan Tatkin,1980-04-15,Mexican
186,Edwin Raphael,1947-06-11,Portuguese
187,Frederic Bibard,1926-06-19,British
188,Ernest Shackleton,1974-08-31,Brazilian
189,Stephen LaBerge,1970-09-30,Mexican
190,Hetty McKinnon,1950-04-26,Chinese
191,Alix E. Harrow,1978-05-19,Malaysian
192,Dominique Enright,1945-01-22,Italian
193,Tom Clancy,1977-05-20,Jamaican
194,Naoshi Komi,1938-09-27,British
195,Lennarth Petersson,1941-01-31,Jamaican
196,Tyler Knott Gregson,1943-12-16,Chinese
197,John Sarno,1954-02-24,Australian
198,Bente Elsworth,1965-09-08,Malaysian
199,Glen Cordoza,1942-09-22,Chinese
200,Peter Fitzsimons,1960-08-28,Thai
201,Hugh White,1960-09-30,Thai
202,The Unabomber,1985-04-07,Nigerian
203,Francesca Ferri,1964-09-08,Mexican
204,Louis Theroux,1974-05-30,Malaysian
205,"""Banksy""",1941-03-26,Nigerian
206,Patrice Karst,1950-04-09,Irish
207,Amadea Morningstar,1988-02-05,Brazilian
208,A. p. Mccoy,1949-09-15,Russian
209,John Wright,1953-10-30,Mexican
210,Karen Dolby,1974-07-16,Thai
211,Alan Downs,1962-07-21,Irish
212,Jennifer L. Scott,1947-10-27,Malaysian
213,Walter Makichen,1977-06-06,Chinese
214,Yasuko Endo,1988-06-20,Malaysian
215,Jessica Brody,1956-03-14,Korean
216,Sepp Holzer,1930-02-19,Irish
217,Bethesda Softworks,1937-06-30,American
218,Blank Books Journals,1921-04-06,Brazilian
219,Lesley-Ann Jones,1928-07-14,Thai
220,Roger O'Reilly,1980-11-18,Italian
221,Anna Botsford Comstock,1939-06-06,Italian
222,David Schnarch,1958-09-03,Malaysian
223,Augusto Boal,1972-08-14,Thai
224,Peter Gray,1958-11-11,Russian
225,Peter Nichols,1950-07-30,German
226,Elizabeth Hartman,1940-02-05,Malaysian
227,Heather Poole,1950-11-18,Irish
228,Joshua Prager,1939-02-24,Jamaican
229,Michael Merzenich Phd,1951-09-22,Spanish
230,Anna Kessel,1990-04-25,Portuguese
231,David McCandless,1947-02-06,Swedish
232,Sandi Metz,1977-11-24,Greek
233,Blyth Lucerno,1933-10-19,Malaysian
234,Adrienne Kress,1943-06-18,Turkish
235,Mark Collins Jenkins,1981-08-05,Australian
236,Ann Swanson,1961-04-25,Italian
237,Lisa Q. Fetterman,1966-06-29,Greek
238,Robert G. Hagstrom,1966-04-29,Peruvian
239,Morgan Rhodes,1922-03-20,Israeli
240,Anita Anand,1977-02-07,Saudi Arabian
241,Curtis Allen Stone,1939-07-19,Spanish
242,Angela Scarpa,1922-02-10,German
243,Pixar,1968-05-21,Israeli
244,Sally Morgan,1937-04-11,Japanese
245,Rich  Davefroning Castro,1964-02-22,Nigerian
246,Debbie Bliss,1936-11-07,German
247,José Maréchal,1928-07-27,American
248,Ira Sluyterman Van Langeweyde,1936-09-12,Thai
249,Dr. Shefali Tsabary,1947-12-29,American
250,Thaneeya Mcardle,1923-02-03,Korean
251,Saul A. Kripke,1981-10-04,Russian
252,Gordon Kerr,1988-04-27,Korean
253,J. N. Liles,1936-04-02,Polish
254,Scarlett Curtis,1963-05-09,Russian
255,Bjarne Stroustrup,1953-10-12,Russian
256,Rolina Van Vliet,1950-05-01,Mexican
257,E.P.F. Lynch,1927-11-11,Japanese
258,Holly Becker,1929-01-01,British
259,Pierre Rajotte,1943-05-04,Egyptian
260,Lewis Kirkham,1980-09-30,Egyptian
261,Josephine Tey,1960-05-18,American
262,Mr David Cannadine,1957-05-19,British
263,Sheldon Kopp,1940-05-26,American
264,Cora Staunton,1974-02-21,Thai
265,Dora Romero,1971-03-07,Greek
266,Anna Samuel,1947-05-24,British
267,Joyce Cooper-Kahn,1940-05-19,Irish
268,John Austin,1979-06-19,Indian
269,Jeb Blount,1959-01-22,Polish
270,Ph.D  Aletha J. Solter,1925-03-26,Russian
271,Judith Crowe,1990-10-12,French
272,Joanna Gaines,1934-09-06,Australian
273,Tom E. Peck,1935-07-01,Indian
274,Grocyn Lecturer James Morwood,1958-05-14,Turkish
275,Bill Martin,1952-06-30,Brazilian
276,Jack D. Schwager,1958-09-22,German
277,Audrey Carlan,1924-05-27,German
278,Stephen King,1930-07-09,Kenyan
279,Anthony de Mello,1933-11-29,Portuguese
280,Daniel Kahneman,1932-12-11,Indian
281,Beck Weathers,1987-05-04,Japanese
282,Jack Monroe,1922-07-08,Thai
283,Kat Black,1930-04-13,Israeli
284,Rivron Rowland,1949-11-03,Spanish
285,G T Luscombe,1927-01-02,American
286,Lori Mcwilliam Pickert,1976-11-18,Israeli
287,Alice Clayton,1971-07-20,Turkish
288,Mark (Mark William) Epstein,1979-04-13,Jamaican
289,Betty J. Eadie,1955-11-25,Polish
290,Robert D. Griffin,1980-05-05,Nigerian
291,Muriel Deutsch Lezak,1980-02-11,Jamaican
292,Andrew Loomis,1974-07-29,Israeli
293,Fuse,1961-04-16,Australian
294,Benedict Carey,1969-01-22,Mexican
295,Ray Norris,1961-07-17,Canadian
296,Wendy Williams,1948-09-20,Jamaican
297,Robert Pepper,1926-05-22,Jamaican
298,Bryce Holdaway,1963-08-21,German
299,Greg Farshtey,1937-11-17,Egyptian
300,Jelena Dokic,1965-05-31,British
301,Daniel B. LeGoff,1964-10-27,Chinese
302,Dan Hunter,1947-04-08,Korean
303,Jean Baudrillard,1949-09-24,American
304,Yangsook Choi,1978-01-18,Brazilian
305,Match,1956-07-06,Swedish
306,Steven Farmer,1982-08-06,Portuguese
307,Bianca Del Rio,1975-07-06,American
308,Jay Miller,1979-02-22,Egyptian
309,Karen Frazier,1982-02-08,Portuguese
310,Chloe Brotheridge,1966-06-05,Irish
311,John Williams,1966-10-04,Irish
312,William Hazlitt,1958-09-12,French
313,Eddie Paul,1957-05-27,Turkish
314,Vladimir Nabokov,1923-02-26,Australian
315,Dr. Satchin Panda,1937-06-10,Chinese
316,Derek Breen,1989-03-29,French
317,Cheryl Orlassino,1941-09-23,Turkish
318,Cyrus Todiwala,1968-10-05,Russian
319,Karen Lipe,1938-03-26,Egyptian
320,Clifford A. Pickover,1971-09-11,Polish
321,Joanna Nell,1985-01-25,Irish
322,Michael Mosley,1944-09-23,Japanese
323,Karen Armstrong,1965-09-30,Portuguese
324,Sally Hepworth,1983-02-02,Peruvian
325,Jim Corbett,1934-08-16,Indian
326,Eileen Chang,1928-08-12,German
327,David Nott,1935-11-10,British
328,Geoff Neuss,1968-08-04,Russian
329,Sloane Crosley,1968-06-12,Swedish
330,Kyoto Costume Institute,1944-09-13,Turkish
331,Julia Cook,1981-02-27,Canadian
332,Harry Eastwood,1927-09-19,Polish
333,Michael J. Sullivan,1961-02-05,Thai
334,Michael Walzer,1955-05-07,Russian
335,Seymour Papert,1960-04-27,Swedish
336,Jacqui Greene Haas,1952-11-24,Polish
337,Sark,1926-06-21,Saudi Arabian
338,Thomas Hill,1944-12-02,Mexican
339,Louis Rosenfeld,1958-02-02,Nigerian
340,Gavin Maxwell,1920-07-28,American
341,Juliet Robertson,1927-09-10,Kenyan
342,Amy M. Karch,1921-06-18,Italian
343,Marcus Pfister,1987-12-22,Spanish
344,Richard Castle,1982-04-08,Canadian
345,Sue Roffey,1944-05-19,Greek
346,Wislawa Szymborska,1953-05-15,American
347,James Dinicolantonio,1987-05-25,Irish
348,Michelle Phan,1968-10-08,Irish
349,Elizabeth Kubler-Ross,1934-06-11,Spanish
350,Gary Robert Muschla,1937-03-22,Portuguese
351,Heinz Guderian,1986-04-27,Saudi Arabian
352,Elizabeth A. Martin,1970-09-20,Australian
353,Rob Sheffield,1941-11-27,Israeli
354,Anne Bogart,1988-11-21,French
355,Katherine Rundell,1956-03-23,Jamaican
356,Brad Hudson,1956-05-17,Japanese
357,William Gibson,1982-12-31,Polish
358,Christopher Clark,1951-04-24,British
359,Pinky McKay,1928-11-18,Australian
360,Grainne Callanan,1926-11-28,Portuguese
361,Daniel Clowes,1977-04-01,American
362,William Fowler,1949-11-06,Malaysian
363,Graeme Douglas,1980-01-12,Kenyan
364,Tony Stubblebine,1969-10-15,German
365,Eugene B. Sledge,1940-11-10,Peruvian
366,Jr.  Bill Martin,1943-02-05,American
367,Jeremy Harmer,1921-06-09,Canadian
368,Rik Mayall,1983-03-06,French
369,Andrew McAfee,1968-05-04,Kenyan
370,Andrew Clements,1948-08-18,Canadian
371,Robert M Pirsig,1979-10-07,Swedish
372,Daniel Wallace,1964-01-17,Swedish
373,Anthony Ray Hinton,1955-09-02,Spanish
374,Richard Yates,1960-04-08,Portuguese
375,Steven Ascher,1984-07-12,Spanish
376,Kenneth Roman,1968-09-05,Polish
377,Daron Acemoglu,1989-12-25,Jamaican
378,Colin Swatridge,1965-05-29,Thai
379,Emily Henderson,1920-06-17,Australian
380,Ian Spence,1978-02-28,Thai
381,Geoff Colvin,1925-02-11,Canadian
382,Penelope Lively,1977-12-29,Kenyan
383,J. C. Cooper,1979-05-16,Spanish
384,Scholastic,1980-06-12,Polish
385,Eknath Easwaran,1930-05-30,Irish
386,Miriam Lancewood,1961-06-16,Japanese
387,William D. McArdle,1950-01-22,Portuguese
388,Raleigh Briggs,1933-07-16,Spanish
389,Carl Barks,1934-04-18,Portuguese
390,Mark Kurlansky,1930-08-28,Portuguese
391,Ken Blanchard,1952-11-17,Jamaican
392,Denis O'Connor,1970-04-29,Malaysian
393,Margaret Rubiano,1990-08-18,Polish
394,William I. Strunk,1986-09-01,Peruvian
395,Daphne M. Gulland,1970-12-19,Spanish
396,Becker,1956-03-25,French
397,Jeannette Walls,1920-04-15,Brazilian
398,Allan Ahlberg,1923-09-27,Polish
399,Bob Goff,1970-03-24,Thai
400,Toby Wilkinson,1939-12-24,Turkish
401,Jennifer Niederst Robbins,1941-09-01,Russian
402,Mark Brazil,1945-08-25,Irish
403,Tony Lewin,1978-06-26,Chinese
404,Marabout,1925-07-22,Peruvian
405,Adam Frost,1963-06-25,Jamaican
406,Ken McElroy,1957-06-07,Turkish
407,Nadiya Hussain,1928-07-21,Malaysian
408,David Jason,1968-07-02,Swedish
409,Chinua Achebe,1954-03-02,Italian
410,John A. Beck,1924-06-29,Japanese
411,Tim Marshall,1980-02-06,Russian
412,Cicely Berry,1928-05-01,British
413,Frantz Fanon,1974-11-11,Israeli
414,Kerby Rosanes,1927-04-12,Israeli
415,Colin Tudge,1933-12-20,British
416,Guy Sajer,1952-03-23,British
417,Susan Gaber,1959-09-02,Italian
418,Clare Bailey,1963-04-16,French
419,Bisco Hatori,1974-04-26,Canadian
420,John P. Kotter,1981-10-14,Egyptian
421,Ulrik Pilegaard,1966-01-16,Portuguese
422,Instaread,1934-09-28,Japanese
423,Aristophanes,1945-04-01,Korean
424,Gloria Furman,1929-04-20,Polish
425,Dr John H Walton,1986-10-28,Irish
426,Haim G. Ginott,1950-07-14,Japanese
427,Libby Peter,1943-01-21,Canadian
428,Rupi Kaur,1928-09-22,American
429,Nicky Epstein,1930-02-06,German
430,Kenneth S. Rubin,1965-03-17,Israeli
431,Vincent Perez,1980-06-15,Malaysian
432,Lao-Tzu,1930-07-28,Saudi Arabian
433,Mark Wolynn,1968-06-17,Israeli
434,Deb Perelman,1977-06-06,Polish
435,Gurmukh Kaur Khalsa,1966-02-19,Greek
436,Vickie Smith,1923-02-22,Malaysian
437,Angela Walters,1949-10-30,Mexican
438,The School of Life,1974-10-11,Nigerian
439,Roald Dahl,1925-10-30,Spanish
440,Dr Daniel J Siegel,1958-10-20,Israeli
441,Takashi Yano,1920-01-28,Peruvian
442,Paul Gilbert,1975-10-25,Swedish
443,Stephen J. Dubner,1962-12-11,Egyptian
444,Robert K. Brown,1988-01-26,Nigerian
445,Hayao Miyazaki,1977-09-03,Japanese
446,Robert Fritz,1964-07-09,Kenyan
447,A. J Liebling,1931-05-20,Polish
448,Natasha Dow Schull,1932-11-08,Israeli
449,David Seymour,1981-05-20,Italian
450,David Howarth,1982-04-25,Japanese
451,Haym Kruglak,1937-12-24,Italian
452,Norton Juster,1936-06-04,Indian
453,Mee-Jeong Park,1964-06-20,Korean
454,Geoff Chapple,1977-02-28,Brazilian
455,Daniel Gilbert,1962-04-23,Polish
456,Francis Glebas,1947-02-19,Turkish
457,Jean Sasson,1943-10-14,Indian
458,Lyanda Lynn Haupt,1945-03-11,Egyptian
459,Elena Ferrante,1955-01-23,Swedish
460,Michio Kaku,1985-01-10,Irish
461,Tim Mackintosh-Smith,1983-12-09,Nigerian
462,Tim Federle,1965-05-17,Greek
463,John S. March,1936-02-03,Peruvian
464,Tom White,1942-08-11,British
465,Jayne E. Marshall,1949-06-04,Mexican
466,Collins,1937-04-04,Jamaican
467,Rod Campbell,1978-01-28,German
468,Insun Lee,1977-07-23,Peruvian
469,Jacob Bronowski,1952-08-08,Spanish
470,Rosita Boland,1960-10-09,Portuguese
471,Henry Dimbleby,1929-10-25,Turkish
472,Dave Grossman,1986-10-09,Nigerian
473,Barry Johnston,1986-07-25,Malaysian
474,Martin Odersky,1986-10-23,Swedish
475,William Sieghart,1966-06-21,Swedish
476,"""Esquire Magazine""",1974-08-30,Saudi Arabian
477,Meike Niessen,1984-11-16,Nigerian
478,Philip A. Fisher,1964-01-04,Australian
479,Albert Jack,1958-07-31,British
480,Vatsyayana Mallanaga,1967-08-15,Nigerian
481,Joanne Harris,1983-10-25,American
482,Fiona Horne,1942-08-12,Swedish
483,Ian R. Hall,1989-05-10,Polish
484,Paul Strathern,1958-07-02,Japanese
485,Allan Bloom,1938-12-10,Saudi Arabian
486,Derek Fell,1941-10-10,German
487,Federal Aviation Administration,1978-03-07,German
488,Nir Eyal,1930-09-29,Peruvian
489,Nancy Kress,1953-08-08,Canadian
490,Julie Morstad,1970-07-08,Spanish
491,Paul Gambino,1961-09-05,Russian
492,Sophie Walker,1974-12-03,Brazilian
493,Yevgeny Zamyatin,1944-04-17,German
494,Bitmap Books,1939-03-29,Canadian
495,Susan Forward,1970-03-10,Kenyan
496,Kate Holden,1987-08-03,Irish
497,Brenda Rosen,1977-06-05,Jamaican
498,Madeleine L'Engle,1978-06-14,Egyptian
499,Jim Haynes,1924-10-12,Israeli
500,Derek Yu,1967-08-07,Jamaican
501,Angel Adoree,1942-12-14,Mexican
502,Shappi Khorsandi,1952-03-16,Polish
503,Naomi Yamamoto,1940-09-12,Mexican
504,Julia Jeffrey,1978-04-02,German
505,Karen McManus,1931-02-15,Egyptian
506,Robert Elliott,1942-08-27,Canadian
507,William P. Young,1952-12-27,French
508,Gwen Hedley,1989-07-29,Irish
509,Brandon Royal,1958-11-12,Indian
510,Lindsay Porter,1988-04-06,Peruvian
511,Ruby Roth,1968-07-12,Portuguese
512,Sam Stall,1990-03-04,Egyptian
513,Jeff Speck,1923-03-09,Australian
514,Tim Butcher,1932-06-16,Saudi Arabian
515,Matthew Parris,1982-08-03,Jamaican
516,Sarah Mackenzie,1985-03-07,British
517,Professor Tim Noakes,1948-07-04,Saudi Arabian
518,Larry Keeley,1922-12-07,Korean
519,Larry Bird,1942-06-23,Italian
520,Jessica Bennett,1946-11-12,Swedish
521,Adam Rozenbachs,1927-01-19,Turkish
522,Sandra Salamony,1935-11-24,Portuguese
523,Seanan McGuire,1962-11-25,Portuguese
524,Deborah J. Rumsey,1941-03-16,Russian
525,Michael King,1941-10-21,Australian
526,Jim Wilson,1941-03-25,Peruvian
527,Kathleen Donovan,1946-03-20,Canadian
528,David Hunt,1970-09-16,Portuguese
529,Kati Galusz,1987-10-02,German
530,Jono Lineen,1984-04-19,Canadian
531,Edward Scarth,1978-05-05,Canadian
532,Megan Stack,1961-08-31,Irish
533,Ann Dobson,1949-01-23,Spanish
534,Kari Dunn Buron,1958-09-06,German
535,Amy Nebens,1945-08-26,Chinese
536,Beth Ferrier,1953-11-26,Portuguese
537,Professor William Doyle,1960-03-13,French
538,Makiko Searle,1979-01-04,Swedish
539,Melanie Dimmitt,1949-02-02,Polish
540,Philip Reeve,1979-12-29,French
541,Sue Stratford,1975-12-01,Turkish
542,Ray Wilson,1983-10-05,Mexican
543,Alys Fowler,1923-04-07,Saudi Arabian
544,Abby Franquemont,1953-12-19,Malaysian
545,Matt Fitzgerald,1963-06-27,Russian
546,Immanuel Kant,1974-01-29,Indian
547,Kyle Loudon,1934-10-29,Saudi Arabian
548,Dr. Eben Alexander,1944-03-09,Peruvian
549,Tao Le,1928-05-25,Swedish
550,Zak George,1952-03-07,Indian
551,Patricia A. Thompson,1922-07-29,Greek
552,Matthew Syed,1976-05-26,Saudi Arabian
553,Peter Higham,1969-10-11,Spanish
554,Lois Feuerle,1974-07-31,Jamaican
555,Leonie Norrington,1947-08-14,Japanese
556,Kieron Gillen,1959-02-08,Turkish
557,Edward Oakley Thorp,1986-12-14,Malaysian
558,Blanche Ebbutt,1921-11-07,Israeli
559,William Davis,1962-04-05,French
560,Willy Russell,1959-08-04,Peruvian
561,Jeanine Picard,1923-03-08,Turkish
562,Johnny Cash,1954-07-02,German
563,Derek Rowntree,1978-11-01,Japanese
564,Laura Waters,1973-03-23,Thai
565,Raina Telgemeier,1920-01-21,French
566,Benjamin Franklin,1942-02-21,Kenyan
567,Jonice Webb,1965-07-07,Mexican
568,Charles K. Reed,1941-12-08,Portuguese
569,Mari Andrew,1947-04-27,Russian
570,Crossway Bibles,1925-05-14,Kenyan
571,Stephen Jay Gould,1965-10-13,Italian
572,Neal Lozano,1922-11-08,Malaysian
573,Barbara Zurer Pearson,1937-12-17,Jamaican
574,Hape Kerkeling,1987-06-26,French
575,Scott C. Anderson,1941-09-17,Australian
576,Mohsin Hamid,1921-01-05,Malaysian
577,Camilla D'Errico,1939-10-22,Portuguese
578,Tanya Burr,1925-06-19,Korean
579,Dr Steven R Gundry,1964-07-21,Brazilian
580,Ray Coppinger,1982-10-22,Brazilian
581,Liaquat Ahamed,1933-11-18,Malaysian
582,Shizuo Tsuji,1970-11-08,Canadian
583,Apostolos Doxiadis,1950-03-19,Malaysian
584,Kristen Brustad,1987-06-08,Turkish
585,Steven Kotler,1972-09-15,Thai
586,Bethany McLean,1928-12-13,Malaysian
587,Elif Shafak,1950-07-16,Nigerian
588,Jim Ross,1931-02-28,Italian
589,Ted Hughes,1989-10-17,Australian
590,Henri J. M. Nouwen,1959-11-23,Korean
591,CD Red,1944-11-25,Russian
592,Rebecca Gowers,1924-04-05,Mexican
593,E. Chancellor,1956-10-03,Jamaican
594,Duncan Clark,1936-08-06,Malaysian
595,Elena Favilli,1962-07-05,Egyptian
596,Laura Bowen,1954-03-21,Brazilian
597,Roy Chudley,1949-01-24,Swedish
598,Virginia M. Axline,1954-12-17,Jamaican
599,Sir Ranulph Fiennes,1965-04-09,Canadian
600,Laurence Bergreen,1957-11-12,Spanish
601,Lucy S. Wolfe,1948-01-11,Swedish
602,Ben Pike,1953-04-14,Portuguese
603,Raymond E. Feist,1976-10-05,Egyptian
604,Mikao Usui,1965-09-23,Italian
605,Chris Froome,1951-04-30,Canadian
606,Elle Croft,1920-08-15,Mexican
607,Sarah Keen,1929-04-07,German
608,Deborah Hamburg,1951-12-15,Italian
609,Gwen Bailey,1981-12-19,Thai
610,Richard de Crespigny,1985-03-27,American
611,Brenda Aloff,1926-10-06,Egyptian
612,Will Buxton,1936-03-01,Saudi Arabian
613,Stephen Mitchell,1970-03-03,Australian
614,Renate Kirkpatrick,1935-11-26,Greek
615,Henri J M Nouwen,1976-06-20,Swedish
616,John T. Hansen,1974-04-19,Chinese
617,Sarah Guthals,1958-09-22,Brazilian
618,Dennis O'Driscoll,1933-08-16,Korean
